ElapsedTime,Speed
211,48.28205
212,48.08585
213,47.88965
214,47.69345
215,47.49725
216,47.30106
217,47.10485
218,46.90866
219,46.71245
220,46.51625
221,46.32005
222,46.12385
223,45.92765
224,45.73145
225,45.53526
226,45.33905
227,45.14285
228,44.94665
229,44.75045
230,44.55425
231,44.35805
232,44.16185
233,43.96566
234,43.76945
235,43.57325
236,43.37706
237,43.18085
238,42.98466
239,42.78846
240,42.59226
241,42.39606
242,42.19986
243,42.00366
244,41.80746
245,41.61126
246,41.41506
247,41.21886
248,41.02266
249,40.82646
250,40.63026
251,40.43406
252,40.23786
253,40.04166
254,39.84546
255,39.64926
256,39.45306
257,39.25686
258,39.06066
259,38.86446
260,38.66826
261,38.47206
262,38.27586
263,38.07966
264,37.88346
265,37.68726
266,37.49107
267,37.29486
268,37.09866
269,36.90247
270,36.70627
271,36.51007
272,36.31387
273,36.11767
274,35.92147
275,35.72527
276,35.52907
277,35.33287
278,35.13667
279,34.94047
280,34.74427
281,34.54807
282,34.35187
283,34.15567
284,33.95947
285,33.76326
286,33.56706
287,33.37086
288,33.17466
289,32.97846
290,32.78226
291,32.58606
292,32.38986
293,32.19366
294,31.99746
295,31.80126
296,31.60506
297,31.40886
298,31.21267
299,31.01647
300,30.82026
301,30.62407
302,30.42786
303,30.23166
304,30.03547
305,29.83927
306,29.64307
307,29.44687
308,29.25067
309,29.05447
310,28.85826
311,28.97215
312,29.08481
313,28.88861
314,29.00216
315,29.11451
316,28.91831
317,29.03154
318,29.14358
319,29.25442
320,29.05822
321,29.16997
322,29.28053
323,29.38994
324,29.19374
325,29.30406
326,29.41323
327,29.52126
328,29.32506
329,29.434
330,29.54182
331,29.64852
332,29.45232
333,29.55995
334,29.66647
335,29.7719
336,29.5757
337,29.68206
338,29.78734
339,29.89155
340,29.69535
341,29.80049
342,29.90456
343,30.0076
344,29.8114
345,29.91536
346,30.01829
347,30.12019
348,29.92399
349,30.02682
350,30.12864
351,30.22944
352,30.03325
353,30.13499
354,30.23574
355,30.33549
356,30.13929
357,30.23999
358,30.33971
359,30.43845
360,30.53623
361,30.34003
362,30.43877
363,30.53655
364,30.63339
365,30.43719
366,30.53498
367,30.63184
368,30.72776
369,30.82278
370,30.62658
371,30.72256
372,30.81762
373,30.91179
374,31.00507
375,30.80887
376,30.90312
377,30.99648
378,31.08897
379,30.89277
380,30.98623
381,31.07882
382,31.17055
383,31.26142
384,31.06522
385,31.15708
386,31.24808
387,31.33825
388,31.42759
389,31.23139
390,31.32171
391,31.4112
392,31.49988
393,31.58776
394,31.67484
395,31.47865
396,31.56671
397,31.65399
398,31.74048
399,31.82621
400,31.63001
401,31.71671
402,31.80265
403,31.88782
404,31.97224
405,32.05592
406,31.85972
407,31.94439
408,32.02832
409,32.11151
410,32.19397
411,31.99777
412,32.08123
413,32.16396
414,32.24597
415,32.32727
416,32.40788
417,32.4878
418,32.2916
419,32.37251
420,32.45273
421,32.53226
422,32.61113
423,32.68932
424,32.49313
425,32.57232
426,32.65084
427,32.72871
428,32.80592
429,32.88248
430,32.95842
431,32.76221
432,32.83915
433,32.91544
434,32.9911
435,33.06614
436,33.14056
437,33.21437
438,33.01817
439,33.09299
440,33.16719
441,33.24078
442,33.31379
443,33.38619
444,33.45802
445,33.52927
446,33.33307
447,33.40533
448,33.477
449,33.5481
450,33.61863
451,33.68861
452,33.75803
453,33.82691
454,33.63071
455,33.70058
456,33.76991
457,33.83869
458,33.90694
459,33.97465
460,34.04184
461,34.1085
462,34.17465
463,34.2403
464,34.04409
465,34.11074
466,34.17688
467,34.2425
468,34.30763
469,34.37226
470,34.43639
471,34.50005
472,34.56322
473,34.62592
474,34.68815
475,34.49195
476,34.55518
477,34.61794
478,34.68023
479,34.74206
480,34.80343
481,34.86434
482,34.9248
483,34.98483
484,35.0444
485,35.10355
486,35.16226
487,35.22055
488,35.27841
489,35.08221
490,35.14108
491,35.19952
492,35.25754
493,35.31514
494,35.37233
495,35.4291
496,35.48548
497,35.54145
498,35.59702
499,35.6522
500,35.70699
501,35.7614
502,35.81543
503,35.86907
504,35.92234
505,35.97525
506,36.02779
507,35.83159
508,35.88512
509,35.93828
510,35.99108
511,36.04351
512,35.84731
513,35.90073
514,35.95378
515,36.00647
516,35.81027
517,35.86396
518,35.91726
519,35.97021
520,36.02278
521,35.82658
522,35.88015
523,35.93335
524,35.98617
525,36.03863
526,35.84243
527,35.89589
528,35.94898
529,36.0017
530,35.8055
531,35.85921
532,35.91256
533,35.96553
534,36.01813
535,35.82193
536,35.87554
537,35.92877
538,35.98162
539,36.03412
540,35.83792
541,35.89141
542,35.94452
543,35.99728
544,36.04966
545,35.85346
546,35.90684
547,35.95986
548,36.0125
549,35.8163
550,35.86994
551,35.92321
552,35.97611
553,36.02864
554,35.83244
555,35.88597
556,35.93913
557,35.99192
558,36.04434
559,35.84814
560,35.90156
561,35.95461
562,36.00729
563,35.81109
564,35.86477
565,35.91807
566,35.971
567,36.02357
568,35.82737
569,35.88093
570,35.93412
571,35.98695
572,36.03941
573,35.8432
574,35.89666
575,35.94974
576,36.00245
577,35.80625
578,35.85996
579,35.9133
580,35.96627
581,36.01886
582,35.82267
583,35.87626
584,35.92949
585,35.98234
586,36.03483
587,35.83863
588,35.89211
589,35.94523
590,35.99797
591,36.05035
592,35.85416
593,35.90754
594,35.96054
595,36.01318
596,35.81698
597,35.87061
598,35.92387
599,35.97676
600,36.02929
601,35.83309
602,35.88661
603,35.93977
604,35.99255
605,36.04496
606,35.84876
607,35.90218
608,35.95522
609,36.0079
610,35.8117
611,35.86536
612,35.91867
613,35.9716
614,36.02416
615,35.82796
616,35.88151
617,35.9347
618,35.98752
619,36.03997
620,35.84377
621,35.89722
622,35.9503
623,36.00301
624,35.80681
