ElapsedTime,Speed
405,-0.0005462259
406,-7.959086E-05
407,-6.77417E-05
408,-7.775404E-06
409,6.316041E-05
410,2.538715E-05
411,-3.346494E-05
412,3.641406E-05
413,5.119147E-05
414,-1.874177E-05
415,3.455443E-06
416,1.478801E-06
417,4.896319E-05
418,-6.316357E-05
419,-0.0001077466
420,-0.0007254378
421,0.0001147205
422,2.903138E-05
423,-1.633792E-05
424,5.226593E-06
425,-6.257991E-06
426,-1.932203E-05
427,-0.0001001545
428,-9.222221E-05
429,-2.505679E-05
430,8.800244E-05
431,-9.781318E-05
432,0.0001086435
433,-0.0001027165
434,-0.0006559873
435,0.0002018874
436,-4.684735E-05
437,-5.157628E-05
438,0.0001125557
439,-9.3264E-05
440,-2.319961E-05
441,7.005836E-05
442,-8.225632E-05
443,-8.688385E-06
444,9.809952E-05
445,-9.475488E-05
446,0.000139219
447,2.540422E-05
448,-0.0006758327
449,7.116665E-05
450,-4.382638E-05
451,-6.791919E-05
452,0.0001137091
453,8.588239E-06
454,-1.676279E-05
455,8.915505E-05
456,-3.620216E-05
457,-8.882581E-05
458,0.0001562441
459,-8.360992E-05
460,0.0001473299
461,-0.0001006415
462,-0.0006927763
463,6.615644E-05
464,2.382268E-05
465,-1.106677E-05
466,-9.394612E-06
467,-8.24338E-05
468,-6.53146E-05
469,0.0001078789
470,-9.323442E-05
471,-6.916312E-05
472,0.000110367
473,-9.435416E-05
474,0.0001503104
475,-0.0001026901
476,-0.000695359
477,6.732213E-05
478,2.386038E-05
479,-1.632908E-05
480,-1.099734E-05
481,-8.089351E-05
482,-6.422255E-05
483,0.0001090557
484,-9.660008E-05
485,-6.930684E-05
486,0.0001103923
487,-9.407496E-05
488,0.0001488873
489,-0.0001006262
490,-0.0006917855
491,7.317701E-05
492,4.725032E-05
493,7.392712E-05
494,6.742912E-05
495,2.904021E-05
496,3.176861E-05
497,3.19045E-06
498,1.572781E-05
499,3.61791E-05
500,3.44957E-05
501,-4.975495E-05
502,4.575539E-05
503,3.296782E-05
504,-0.0007413639
505,6.086533E-05
506,8.225298E-05
507,2.873754E-05
508,-4.508001E-05
509,5.051528E-05
510,3.698137E-05
511,7.663495E-06
512,5.479688E-05
513,-3.370058E-05
514,-1.403478E-06
515,-0.0001334848
516,-0.0001118754
517,0.0001000438
518,-7.937625E-05
519,3.42937E-05
520,-0.0006764522
521,0.0001616551
522,2.414821E-06
523,2.946261E-05
524,-1.841043E-06
525,7.376511E-05
526,4.183435E-05
527,5.233421E-05
528,-7.704621E-05
529,-9.560699E-05
530,-9.144466E-05
531,-9.800917E-05
532,0.0001124763
533,-0.0001774234
534,3.476832E-05
535,8.25446E-05
536,7.252233E-05
537,-0.0006804962
538,4.110364E-05
539,-7.678379E-05
540,1.181599E-05
541,-1.315711E-05
542,-5.787751E-05
